Date,kospi,sp500,capped_kospi,capped_sp500,buy_sp500,sell_sp500,VaR_sp500,Change_sp500,buy_kospi,sell_kospi,VaR_kospi,Change_kospi,rf,portfolio,equity_sp500,equity_kospi,cash
08/10/2017,9.913226746365678,6.330253393832287,3.0,3.0,True,False,3.0,-0.0144,False,False,3.0,-0.0037,2.949145218189564e-05,0.09780224185345462,0.29340672556036385,0.30590891214162674,-0.48901120926727315
08/11/2017,8.796723002029841,6.224178554603861,3.0,3.0,False,False,3.0,0.001,False,False,3.0,-0.0183,2.9888506007269555e-05,0.10498508625362013,0.2937001322859242,0.300310779049435,-0.489025825081739
08/14/2017,9.238016417854192,6.638887863155798,3.0,3.0,False,False,3.0,0.0096,False,False,3.0,0.0073,3.187318653585791e-05,0.10998128939928237,0.29651965355586907,0.3025030477364959,-0.48904141189308264
08/16/2017,10.296049434271463,6.5589179411065315,3.0,3.0,False,False,3.0,0.0015,False,False,3.0,0.0073,3.187318653585791e-05,0.11261875381994757,0.2969644330362029,0.30471131998497236,-0.4890569992012277
08/17/2017,10.969741396853086,4.943641865719715,3.0,3.0,False,False,3.0,-0.0154,False,False,3.0,0.0060999999999999995,3.068249591509087e-05,0.10988923511371812,0.2923911807674454,0.30657005903688067,-0.4890720046906079
08/18/2017,10.967163506195666,5.401418567506467,3.0,3.0,False,False,3.0,-0.0011,False,False,3.0,-0.002,3.107943201308139e-05,0.10893926461668091,0.2920695504686012,0.3059569189188069,-0.4890872047707272
08/21/2017,12.283770210425574,6.121550530167506,3.0,3.0,False,False,3.0,0.0005,False,False,3.0,-0.0008,3.068249591509087e-05,0.10882552744061769,0.2922155852438355,0.30571215338367186,-0.4891022111868897
08/22/2017,12.095807089176507,6.587405139416701,3.0,3.0,False,False,3.0,0.0102,False,False,3.0,0.0039000000000000003,3.1476328884005866e-05,0.11298300866624394,0.2951961842133226,0.3069044307818682,-0.4891176063289469
08/23/2017,12.423790098437594,7.089159825200963,3.0,3.0,False,False,3.0,-0.0046,False,False,3.0,0.0012,3.0285520582484793e-05,0.11197857835446712,0.2938382817659413,0.30727271609880646,-0.48913241951028064
08/24/2017,12.999361217724218,9.017324725387114,3.0,3.0,False,False,3.0,-0.0003,False,False,3.0,0.0033,3.107943201308139e-05,0.11288922487528591,0.2937501302814115,0.30828671606193253,-0.4891476214680582
08/25/2017,12.597620185965722,9.782781812222856,3.0,3.0,False,False,3.0,0.0007000000000000001,False,True,3.0,0.0015,3.0285520582484793e-05,0.11354246595021783,0.2939557553726085,0.0,-0.18086090540612565
08/28/2017,13.006446093371743,9.644187356142519,3.0,3.0,False,False,3.0,0.0005,False,False,3.0,-0.0054,3.0285520582484793e-05,0.11323635037749591,0.2941027332502948,0.0,-0.18086638287279888
08/29/2017,12.954288716282047,9.41599161874346,3.0,3.0,False,False,3.0,0.0013,False,False,3.0,-0.0029,2.9888506007269555e-05,0.11361327810475033,0.2944850668035202,0.0,-0.18087178869876988
08/30/2017,12.15510523631078,11.213627726303297,3.0,3.0,False,True,3.0,0.0036,False,False,3.0,0.0033,2.9888506007269555e-05,0.11466801835769994,0.0,0.0,0.11361327810475033
08/31/2017,12.47317971107715,10.508520798883845,3.0,3.0,False,False,3.0,0.0058,False,False,3.0,-0.0044,2.830005512688416e-05,0.11361649336678384,0.0,0.0,0.11361649336678384
09/01/2017,12.834976835761383,12.296851062551896,3.0,3.0,False,False,3.0,0.0017000000000000001,True,False,3.0,-0.0016,2.949145218189564e-05,0.11361984408216504,0.0,0.3408595322464951,-0.22723968816433007
09/05/2017,11.938982913819386,12.222639707675418,3.0,3.0,False,False,3.0,-0.004,False,False,3.0,-0.0004,2.6710975744803633e-05,0.11347743047546768,0.0,0.34072318843359656,-0.22724575795812887
09/06/2017,13.35254917427041,12.943532579213992,3.0,3.0,False,False,3.0,0.0023,False,False,3.0,-0.0029,2.7108304539558148e-05,0.11248317298179819,0.0,0.3397350911871391,-0.22725191820534094
09/07/2017,14.081310983225483,12.618546834167264,3.0,3.0,False,False,3.0,0.0004,False,False,3.0,0.0125,2.512126736231579e-05,0.1167241527654416,0.0,0.34398177982697836,-0.22725762706153677
09/08/2017,13.738444564445736,11.973241183864742,3.0,3.0,False,False,3.0,-0.0016,False,False,3.0,0.0015,2.47237419270796e-05,0.11723450677625963,0.0,0.3444977524967188,-0.2272632457204592
09/11/2017,13.46324392551996,13.657011267023904,3.0,3.0,False,False,3.0,0.0102,False,False,3.0,0.0078000000000000005,2.6710975744803633e-05,0.11991551882268991,0.0,0.34718483496619323,-0.22726931614350332
09/12/2017,14.348292411264875,12.779301961734554,3.0,3.0,False,False,3.0,0.0034000000000000002,False,True,3.0,0.0019,2.7505594029753055e-05,0.12056891883158044,0.0,0.0,0.11991551882268991
09/13/2017,13.34813202942557,13.684312926169149,3.0,3.0,False,False,3.0,0.0002,False,False,3.0,-0.0014000000000000002,2.830005512688416e-05,0.11991891243848317,0.0,0.0,0.11991891243848317
09/14/2017,13.648899414246308,13.426351760132496,3.0,3.0,False,False,3.0,0.0,False,False,3.0,0.008100000000000001,2.7902844222715828e-05,0.1199222585172163,0.0,0.0,0.1199222585172163
09/15/2017,13.937911384609803,12.215856599735472,3.0,3.0,False,False,3.0,0.0001,False,False,3.0,0.0037,2.7902844222715828e-05,0.11992560468931454,0.0,0.0,0.11992560468931454
09/18/2017,14.257306332151284,12.234860074012712,3.0,3.0,False,False,3.0,0.0024,False,False,3.0,0.0167,2.830005512688416e-05,0.11992899859053838,0.0,0.0,0.11992899859053838
09/19/2017,14.703277065617351,13.918437040151463,3.0,3.0,False,False,3.0,0.0008,False,False,3.0,-0.0013,2.8697226749585525e-05,0.11993244022020479,0.0,0.0,0.11993244022020479
09/20/2017,15.285110478483363,13.364673519840228,3.0,3.0,False,False,3.0,0.0002,False,False,3.0,-0.0001,3.0285520582484793e-05,0.11993607243659159,0.0,0.0,0.11993607243659159
09/21/2017,14.561589090937682,13.412218658681882,3.0,3.0,False,False,3.0,-0.0017000000000000001,False,False,3.0,-0.0007000000000000001,3.0285520582484793e-05,0.11993970476298195,0.0,0.0,0.11993970476298195
09/22/2017,13.930263701704071,15.014353398601937,3.0,3.0,False,False,3.0,-0.0006,False,False,3.0,-0.0048,2.949145218189564e-05,0.11994324195904968,0.0,0.0,0.11994324195904968
09/25/2017,16.158313002168516,15.890269434363432,3.0,3.0,False,False,3.0,-0.001,False,False,3.0,-0.001,2.830005512688416e-05,0.11994663635940922,0.0,0.0,0.11994663635940922
09/26/2017,16.28752653392007,14.621354145845492,3.0,3.0,False,False,3.0,-0.0006,False,False,3.0,-0.0067,2.9094359098591482e-05,0.11995012612992013,0.0,0.0,0.11995012612992013
09/27/2017,15.646243290408778,14.646513590051487,3.0,3.0,False,False,3.0,0.0036,False,False,3.0,-0.0015,3.107943201308139e-05,0.11995385411171015,0.0,0.0,0.11995385411171015
09/28/2017,15.068105181498364,14.693272968282283,3.0,3.0,False,False,3.0,0.0013,False,False,3.0,0.0001,3.107943201308139e-05,0.11995758220936373,0.0,0.0,0.11995758220936373
