Date,Price,Open,High,Low,Change %,VaR,rf,kelly,kelly_ratio,portfolio,equity,cash
05/07/2013,1625.96,1617.55,1626.03,1616.64,0.0052,-0.016,0.02,2.1658657498324843,0.02165865749832484,4424303676731903.5,-6161514924516.002,4519041983874785.0
05/08/2013,1632.69,1625.95,1632.78,1622.7,0.0040999999999999995,-0.0154,0.02,1.6854293048665223,0.016854293048665224,4512880468950269.0,-6186777135706.518,4609422823552281.0
05/09/2013,1626.67,1632.69,1635.01,1623.09,-0.0037,-0.0154,0.02,1.9242665568619741,0.01924266556861974,4603236046416574.0,-6163886060304.403,4701611280023327.0
05/10/2013,1633.7,1626.69,1633.7,1623.71,0.0043,-0.0154,0.02,2.2907896858559442,0.022907896858559443,4695447393963023.0,-6190390770363.712,4795643505623794.0
05/13/2013,1633.77,1632.1,1636.0,1626.74,0.0,-0.0154,0.02,2.7312919511800837,0.027312919511800836,4789453114853430.0,-6190390770363.712,4891556375736270.0
05/14/2013,1650.34,1633.75,1651.1,1633.75,0.0101,-0.0154,0.02,2.424892403219565,0.02424892403219565,4885365984965906.0,-6252913717144.386,4989387503250995.0
05/15/2013,1658.78,1649.13,1661.49,1646.68,0.0051,-0.0154,0.02,1.9485052306027049,0.01948505230602705,4983134589533851.0,-6284803577101.823,5089175253316015.0
05/16/2013,1650.47,1658.07,1660.51,1648.6,-0.005,-0.0154,0.02,2.076595568695528,0.020765955686955283,5082890449738913.0,-6253379559216.314,5190958758382335.0
05/20/2013,1666.29,1665.71,1672.84,1663.52,-0.0007000000000000001,-0.0154,0.02,1.7314854937370985,0.017314854937370984,5184705378823119.0,-6249002193524.863,5294777933549982.0
05/21/2013,1669.16,1666.2,1674.93,1662.67,0.0017000000000000001,-0.0154,0.02,1.55169250680029,0.015516925068002901,5288528931356457.0,-6259625497253.855,5400673492220982.0
05/22/2013,1655.35,1669.39,1687.18,1648.86,-0.0083,-0.0151,0.02,1.5841491001906989,0.015841491001906988,5394413866723728.0,-6207670605626.648,5508686962065402.0
05/23/2013,1650.51,1651.62,1655.5,1635.53,-0.0029,-0.0151,0.02,1.1965519944526686,0.011965519944526685,5502479291459775.0,-6189668360870.331,5618860701306710.0
05/24/2013,1649.6,1646.67,1649.78,1636.88,-0.0006,-0.0151,0.02,0.9474554039964966,0.009474554039964967,5612671032945840.0,-6185954559853.809,5731237915332844.0
05/28/2013,1660.06,1652.63,1674.21,1652.63,0.0063,-0.0151,0.02,1.153211047562344,0.01153211047562344,5725051960772990.0,-6224926073580.888,5845862673639501.0
05/29/2013,1648.36,1656.57,1656.57,1640.05,-0.006999999999999999,-0.0151,0.02,1.8672229765762884,0.018672229765762886,5839637747565920.0,-6181351591065.821,5962779927112291.0
05/30/2013,1654.41,1649.14,1661.91,1648.61,0.0037,-0.0151,0.02,1.5325121957080545,0.015325121957080546,5956598575521225.0,-6204222591952.765,6082035525654537.0
05/31/2013,1630.74,1652.13,1658.99,1630.74,-0.0143,-0.0149,0.02,0.9057082440681183,0.009057082440681184,6075831303062584.0,-6115502208887.84,6203676236167628.0
06/03/2013,1640.42,1631.71,1640.42,1622.72,0.0059,-0.0149,0.02,0.89676707067497,0.0089676707067497,6197560733958740.0,-6151583671920.278,6327749760890981.0
06/04/2013,1631.38,1640.73,1646.53,1623.62,-0.0055000000000000005,-0.0149,0.02,0.8868762291941783,0.008868762291941784,6321598177219061.0,-6117749961724.717,6454304756108801.0
06/05/2013,1608.9,1629.05,1629.31,1607.09,-0.0138,-0.0149,0.02,0.28374582857746006,0.0028374582857746008,6448187006147076.0,-6033325012252.915,6583390851230977.0
06/07/2013,1643.38,1625.27,1644.4,1625.27,0.0128,-0.0143,0.02,-0.22877976952874704,-0.0022877976952874702,6577357526218724.0,-6110551572409.752,6715058668255597.0
06/10/2013,1642.81,1644.67,1648.69,1639.26,-0.0003,-0.0143,0.02,0.053397368956201945,0.0005339736895620194,6708948116683187.0,-6108718406938.029,6849359841620709.0
06/11/2013,1626.13,1638.64,1640.13,1622.92,-0.0102,-0.0143,0.02,-0.10780778780802201,-0.00107807787808022,6843251123213771.0,-6046409479187.262,6986347038453123.0
06/12/2013,1612.52,1629.94,1637.71,1610.92,-0.0084,-0.0143,0.02,-0.0918232627088108,-0.0009182326270881081,6980300628973936.0,-5995619639562.089,7126073979222186.0
06/13/2013,1636.36,1612.15,1639.25,1608.07,0.0148,-0.0143,0.02,-0.09679650277891284,-0.0009679650277891284,7120078359582624.0,-6084354810227.607,7268595458806630.0
06/14/2013,1626.73,1635.52,1640.8,1623.96,-0.0059,-0.0143,0.02,-0.7121736555994712,-0.007121736555994712,7262511103996402.0,-6048457116847.265,7413967367982763.0
06/17/2013,1639.04,1630.64,1646.5,1630.34,0.0076,-0.0143,0.02,-0.6359999357673533,-0.006359999357673532,7407918910865916.0,-6094425390935.304,7562246715342418.0
06/18/2013,1651.81,1639.77,1654.19,1639.77,0.0078000000000000005,-0.0143,0.02,-0.2413704052717344,-0.002413704052717344,7556152289951483.0,-6141961908984.6,7713491649649266.0
06/19/2013,1628.93,1651.83,1652.45,1628.91,-0.0139,-0.0143,0.02,-0.45417558295912547,-0.004541755829591255,7707349687740281.0,-6056588638449.714,7867761482642251.0
06/20/2013,1588.19,1624.62,1624.62,1584.32,-0.025,-0.0143,0.02,0.20236868493080554,0.0020236868493080555,7861704894003801.0,-5905173922488.471,8025116712295096.0
06/21/2013,1592.43,1588.62,1599.19,1577.7,0.0027,-0.0143,0.02,-0.7642076734805279,-0.0076420767348052785,8019211538372608.0,-5921117892079.189,8185619046540998.0
06/24/2013,1573.09,1588.77,1588.77,1560.33,-0.0121,-0.0143,0.02,-1.526442923501036,-0.01526442923501036,8179697928648919.0,-5849472365585.031,8349331427471818.0
06/25/2013,1588.03,1577.52,1593.79,1577.09,0.0095,-0.0143,0.02,-1.5066935329347868,-0.015066935329347868,8343481955106233.0,-5905042353058.09,8516318056021255.0
06/26/2013,1603.26,1592.27,1606.83,1592.27,0.0096,-0.0143,0.02,-1.1620958051266963,-0.011620958051266964,8510413013668197.0,-5961730759647.448,8686644417141680.0
06/27/2013,1613.2,1606.44,1620.07,1606.44,0.0062,-0.0139,0.02,-0.7121078776439163,-0.007121078776439162,8680682686382033.0,-61815825242997.99,8742498511625030.0
06/28/2013,1606.28,1611.12,1615.94,1601.06,-0.0043,-0.0139,0.02,0.06843732509327566,0.0006843732509327566,8680682686382032.0,-61550017194453.1,8917348481857531.0
07/01/2013,1614.96,1609.78,1626.61,1609.78,0.0054,-0.0139,0.02,0.21182854301742177,0.0021182854301742176,8855798464663078.0,-61882387287303.16,9095695451494682.0
07/02/2013,1614.08,1614.29,1624.26,1606.77,-0.0005,-0.0139,0.02,0.08331546042881693,0.0008331546042881693,9033813064207378.0,-61851446093659.51,9277609360524576.0
07/03/2013,1615.41,1611.48,1618.97,1604.57,0.0008,-0.0139,0.02,0.26774090886573193,0.0026774090886573193,9215757914430916.0,-61900927250534.43,9463161547735068.0
07/05/2013,1631.89,1618.65,1632.07,1614.71,0.0102,-0.0139,0.02,0.3888146345020643,0.0038881463450206434,9401260620484534.0,-62532316708489.88,9652424778689770.0
07/08/2013,1640.46,1634.2,1644.68,1634.2,0.0053,-0.0139,0.02,-0.3397581217912624,-0.003397581217912624,9589892461981280.0,-62863737987044.88,9845473274263566.0
07/09/2013,1652.32,1642.89,1654.18,1642.89,0.0072,-0.0139,0.02,-0.7297244971632677,-0.007297244971632677,9782609536276522.0,-63316356900551.61,1.0042382739748838e+16
07/10/2013,1652.62,1651.56,1657.92,1647.66,0.0002,-0.0139,0.02,-0.6762148964583656,-0.006762148964583656,9979066382848286.0,-63329020171931.72,1.0243230394543814e+16
07/11/2013,1675.02,1657.41,1676.63,1657.41,0.013600000000000001,-0.0139,0.02,-0.9263427638438889,-0.00926342763843889,1.0179901374371882e+16,-64190294846269.99,1.044809500243469e+16
07/12/2013,1680.19,1675.26,1680.19,1672.33,0.0031,-0.0139,0.02,-1.004344204373676,-0.01004344204373676,1.038390470758842e+16,-64389284760293.44,1.0657056902483384e+16
07/15/2013,1682.5,1679.59,1684.51,1677.89,0.0014000000000000002,-0.0139,0.02,-1.031305515520739,-0.010313055155207388,1.059266761772309e+16,-64479429758957.85,1.0870198040533052e+16
07/16/2013,1676.26,1682.7,1683.73,1671.84,-0.0037,-0.0138,0.02,-0.9175584904887885,-0.009175584904887884,1.0805718610774094e+16,-64240855868849.7,1.1087602001343714e+16
07/17/2013,1680.91,1677.91,1684.75,1677.91,0.0028000000000000004,-0.0138,0.02,-0.8434855469779383,-0.008434855469779384,1.1023361145474864e+16,-64420730265282.48,1.1309354041370588e+16
07/18/2013,1689.37,1681.05,1693.12,1681.05,0.005,-0.0126,0.02,-0.9054787341258677,-0.009054787341258676,1.1244933311105306e+16,-64742833916608.88,1.1535541122198e+16
07/19/2013,1692.09,1686.15,1692.09,1684.08,0.0016,-0.0126,0.02,-0.5046723230757394,-0.005046723230757394,1.1470798288281392e+16,-64846422450875.46,1.176625194464196e+16
07/22/2013,1695.53,1694.41,1697.61,1690.67,0.002,-0.0126,0.02,-0.7387080731885673,-0.0073870807318856735,1.1701405522191084e+16,-64976115295777.21,1.20015769835348e+16
07/23/2013,1692.39,1696.63,1698.78,1691.13,-0.0019,-0.0126,0.02,0.060850401776325384,0.0006085040177632538,1.1936600868239022e+16,-64852660676715.234,1.2241608523205496e+16
07/24/2013,1685.94,1696.06,1698.38,1682.57,-0.0038,-0.0126,0.02,0.28259562294494284,0.0028259562294494283,1.217675586252878e+16,-64606220566143.71,1.2486440693669606e+16
07/25/2013,1690.25,1685.21,1690.94,1680.07,0.0026,-0.0126,0.02,0.8204050160473197,0.008204050160473198,1.2421834473103462e+16,-64774196739615.68,1.2736169507542998e+16
07/26/2013,1691.65,1687.31,1691.85,1676.03,0.0008,-0.0126,0.02,0.5229401028045506,0.005229401028045506,1.2671395310803382e+16,-64826016097007.37,1.2990892897693858e+16
07/29/2013,1685.33,1690.32,1690.92,1681.86,-0.0037,-0.0126,0.02,1.2302326459957833,0.012302326459957833,1.292606688159685e+16,-64586159837448.44,1.3250710755647736e+16
