Date,Price,Open,High,Low,Change %,Change,trix,buy_signal,sell_signal,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
02/05/2016,1875.25,1905.25,1914.5,1865.75,-1.70%,-0.017,0.0643665080062573,False,False,3.7028770598634964e-05,-0.019,-1.1987194656060731,0.0,2.369881543034853,0.0,2.369881543034853
02/08/2016,1852.0,1876.25,1884.5,1821.75,-1.24%,-0.0124,-0.06720211094228264,True,False,3.5839607709364785e-05,-0.0187,-0.966346417409601,0.0,2.369966478659673,0.0,2.369966478659673
02/09/2016,1848.25,1849.75,1863.75,1825.75,-0.20%,-0.002,-0.18305438367859503,False,False,3.6632422089954986e-05,-0.0187,-0.9416615393175791,0.0,2.3700532962720584,0.0,2.3700532962720584
02/10/2016,1846.75,1850.0,1877.75,1838.5,-0.08%,-0.0008,-0.2607803198066918,False,False,3.5046636793323316e-05,-0.0187,-1.1449582442196833,0.0,2.3701363586691135,0.0,2.3701363586691135
02/11/2016,1824.5,1842.25,1847.25,1802.5,-1.20%,-0.012,-0.3414244140912893,False,False,3.385688677992604e-05,-0.0187,-1.1919519875710076,0.0,2.370216604107462,0.0,2.370216604107462
02/12/2016,1858.25,1827.25,1860.75,1822.5,1.85%,0.018500000000000003,-0.32361326984456484,False,False,3.6236034462566735e-05,-0.0187,-0.7163616443574866,0.0,2.370302491358012,0.0,2.370302491358012
02/14/2016,1869.5,1865.75,1871.0,1865.25,0.61%,0.0060999999999999995,-0.24682518362196015,False,False,3.6236034462566735e-05,-0.0187,-0.40675066855839015,0.0,2.3703883817207756,0.0,2.3703883817207756
02/15/2016,1883.25,1869.38,1890.0,1868.0,0.74%,0.0074,-0.13578690151262646,False,False,3.6236034462566735e-05,-0.0187,-0.47137052691833486,0.0,2.3704742751958654,0.0,2.3704742751958654
02/16/2016,1888.75,1865.25,1892.75,1865.0,0.29%,0.0029,-0.02724318086070691,False,False,3.821758149236132e-05,-0.0187,-0.5383055708951318,0.0,2.3705648689896535,0.0,2.3705648689896535
02/17/2016,1922.75,1888.25,1928.0,1881.5,1.80%,0.018000000000000002,0.12082582765748212,False,True,3.900992663807834e-05,-0.0187,-0.01670622172884239,0.0,2.3706573445512835,0.0,2.3706573445512835
