Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
12/20/2021,4568.02,4587.9,4587.9,4531.1,-1.14%,-0.011399999999999999,-1.7236937794651297e-05,-0.0148,11.995598756878445,11.995598756878445,-1.347413833802996,-21.82215150669478,20.72602165086913
12/21/2021,4649.23,4594.96,4651.14,4583.16,1.78%,0.0178,-1.8442280169783665e-05,-0.0148,12.61635330930021,12.61635330930021,-1.0961298558256516,-13.829161533968723,12.733031678143071
12/22/2021,4696.56,4650.36,4697.67,4645.53,1.02%,0.0102,-2.004996629090261e-05,-0.0148,12.810595763304098,12.810595763304098,-1.0961298558256516,-13.970218981615204,12.732776381287144
12/23/2021,4725.78,4703.96,4740.74,4703.96,0.62%,0.0062,-1.8040459180523882e-05,-0.0148,12.66283015827077,12.66283015827077,-1.2374426003280607,-14.056834339301219,12.732546676154582
12/27/2021,4791.19,4733.99,4791.49,4733.99,1.38%,0.0138,-2.004996629090261e-05,-0.0148,12.666411804988572,12.666411804988572,-1.3242876631466363,-14.250818653183575,12.732291389022928
12/28/2021,4786.36,4795.49,4807.02,4780.04,-0.10%,-0.001,-1.924604278147335e-05,-0.0148,12.688821490616368,12.688821490616368,-1.5185272641606478,-14.236567834530392,12.732046342798148
12/29/2021,4793.06,4788.64,4804.06,4778.08,0.14%,0.0014000000000000002,-1.8040459180523882e-05,-0.0148,12.591367879642267,12.591367879642267,-1.5045214917322447,-14.256499029498736,12.731816650835816
12/30/2021,4778.73,4794.23,4808.93,4775.33,-0.30%,-0.003,-2.0451988402503396e-05,-0.0148,12.434922093683479,12.434922093683479,-1.52468237866292,-14.21372953241024,12.73155625986933
12/31/2021,4766.18,4775.21,4786.83,4765.75,-0.26%,-0.0026,-2.085405076279745e-05,-0.0148,12.16741972549066,12.16741972549066,-1.4821732725409085,-14.176773835625973,12.731290755348798
01/03/2022,4796.56,4778.14,4796.64,4758.17,0.64%,0.0064,-1.7236937794651297e-05,-0.0148,11.980801861173239,11.980801861173239,-1.4454830802771745,-14.267505188173978,12.731071306882003
01/04/2022,4793.54,4804.51,4818.62,4774.27,-0.06%,-0.0006,-1.402445897347171e-05,-0.0148,12.026238543147812,12.026238543147812,-1.5364338812919751,-14.258944685061072,12.73089276049477
01/05/2022,4700.58,4787.99,4797.7,4699.44,-1.94%,-0.0194,-1.0814547819593123e-05,-0.0158,10.852280126690808,0.0,-1.5280519245663022,-13.982321158170889,12.730755081646226
01/06/2022,4696.05,4693.39,4725.01,4671.26,-0.10%,-0.001,-8.408797013359504e-06,-0.0158,10.515152513653593,10.515152513653593,-1.2515660765246626,-13.968338837012718,12.730648031310917
01/07/2022,4677.02,4697.66,4707.95,4662.74,-0.41%,-0.0040999999999999995,-8.809655415609186e-06,-0.0158,10.632253882015107,10.632253882015107,-1.237690805701801,-13.911068647780965,12.730535878688544
