Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,rf_CumReturn_temp,rf_CumReturn,kelly_ratio,portfolio,equity,cash
06/01/2017,2430.06,2415.65,2430.06,2413.54,0.76%,0.0076,2.9888506007269555e-05,0.0002,6.506724498956445,1.0000298885060073,1.089689221915022,6.506724498956445,0.387901762066277,2.809889257829775,-2.4008651685656006
06/02/2017,2439.07,2431.28,2440.23,2427.71,0.37%,0.0037,2.7902844222715828e-05,0.0002,6.714892524989738,1.0000279028442227,1.0897196273436323,6.714892524989738,0.40902408926417433,2.820285848083745,-2.400932159532399
06/05/2017,2436.1,2437.83,2439.55,2434.32,-0.12%,-0.0012,2.949145218189564e-05,0.0002,6.850008009830918,1.000029491452182,1.0897517647579138,0.0,0.41935368855134625,2.8169015050660446,-2.401002966508374
06/06/2017,2429.33,2431.92,2436.21,2428.12,-0.28%,-0.0028000000000000004,2.9094359098591482e-05,0.0002,6.255339648616006,1.0000290943590986,1.089783470387086,0.0,0.4158985385576708,2.8090141808518596,-2.401072822150878
06/07/2017,2433.14,2432.03,2435.28,2424.75,0.16%,0.0016,2.9888506007269555e-05,0.0002,6.1948705837925635,1.0000298885060073,1.0898160423868872,6.1948705837925635,0.40794135870098147,2.813508603541223,-2.401144586630347
06/08/2017,2433.79,2434.27,2439.27,2427.94,0.03%,0.0003,3.068249591509087e-05,0.0002,6.350182516914871,1.000030682495915,1.089849480663156,6.350182516914871,0.412364016910876,2.8143526561222854,-2.4012182597393177
06/09/2017,2431.77,2436.39,2446.2,2415.7,-0.08%,-0.0008,3.107943201308139e-05,0.0002,6.35653909863622,1.000031079432013,1.0898833525659948,0.0,0.4131343963829677,2.8121011739973873,-2.4012928882389697
06/12/2017,2429.39,2425.88,2430.38,2419.97,-0.10%,-0.001,3.2270004976409083e-05,0.0002,6.3050553047623294,1.0000322700049764,1.0899185231072057,0.0,0.41080828575841766,2.80928907282339,-2.401370377972423
06/13/2017,2440.35,2434.15,2441.49,2431.28,0.45%,0.0045000000000000005,3.187318653585791e-05,0.0002,6.959477211775296,1.0000318731865359,1.0899532622836017,6.959477211775296,0.407918694850967,2.821930873651095,-2.401446917298422
06/14/2017,2437.92,2443.75,2443.75,2428.34,-0.10%,-0.001,3.068249591509087e-05,0.0002,6.870992211301319,1.000030682495915,1.0899867047701193,0.0,0.420483956352673,2.819108942777444,-2.4015205996836526
06/15/2017,2432.46,2424.14,2433.95,2418.53,-0.22%,-0.0022,3.2270004976409083e-05,0.0002,6.888784553104619,1.0000322700049764,1.0900218786465063,0.0,0.41758834309379145,2.812906903103334,-2.401598096765355
06/16/2017,2433.15,2431.24,2433.15,2422.88,0.03%,0.0003,3.2270004976409083e-05,0.0002,7.581437207838715,1.0000322700049764,1.0900570536579546,7.581437207838715,0.4113088063379786,2.8137507751742645,-2.4016755963478893
06/19/2017,2453.46,2442.55,2453.82,2441.79,0.83%,0.0083,3.2666784213430944e-05,0.0002,8.460720701332548,1.0000326667842134,1.0900926623165068,8.460720701332548,0.41207517882637523,2.837104906608211,-2.401754051366346
06/20/2017,2437.03,2450.66,2450.66,2436.6,-0.67%,-0.0067,3.187318653585791e-05,0.0002,7.573435931394908,1.0000318731865359,1.0901274070432743,0.0,0.435350855241865,2.8180963037339355,-2.401830602921238
06/21/2017,2435.61,2439.31,2442.23,2430.74,-0.06%,-0.0006,3.107943201308139e-05,0.0002,7.619341622383712,1.000031079432013,1.090161287583907,0.0,0.4162657008126973,2.816405445951695,-2.4019052504521685
06/22/2017,2434.5,2437.4,2441.62,2433.27,-0.05%,-0.0005,2.9888506007269555e-05,0.0002,6.974969098624959,1.0000298885060073,1.0901938708760999,0.0,0.41450019549952666,2.8149972432287194,-2.4019770398116758
06/23/2017,2438.3,2434.65,2441.4,2431.11,0.16%,0.0016,2.949145218189564e-05,0.0002,7.103791459399711,1.000029491452182,1.0902260222765119,7.103791459399711,0.4130202034170436,2.8195012388178853,-2.4020478776026875
06/26/2017,2439.07,2443.32,2450.42,2437.03,0.03%,0.0003,2.9094359098591482e-05,0.0002,6.957151298364151,1.0000290943590986,1.0902577417039025,6.957151298364151,0.4174533612151978,2.8203470891895304,-2.4021177636462103
06/27/2017,2419.38,2436.34,2440.15,2419.38,-0.81%,-0.008100000000000001,3.1476328884005866e-05,0.0002,6.583192133934196,1.000031476328884,1.0902920590151488,0.0,0.41822932554332004,2.7975022777670953,-2.4021933734949568
06/28/2017,2440.69,2428.7,2442.97,2428.02,0.88%,0.0088,3.1476328884005866e-05,0.0002,6.902331737872753,1.000031476328884,1.090326377406578,6.902331737872753,0.3953089042721385,2.8221202978114457,-2.402268985723624
06/29/2017,2419.7,2442.38,2442.73,2405.7,-0.86%,-0.0086,3.346022510730684e-05,0.0002,6.463472755514464,1.0000334602251073,1.0903628599726063,0.0,0.4198513120878218,2.797850063250267,-2.4023493661846547
06/30/2017,2423.41,2429.2,2432.71,2421.65,0.15%,0.0015,3.465009261516272e-05,0.0002,6.482020101156079,1.0000346500926152,1.0904006411466884,6.482020101156079,0.3955006970656125,2.802046838345143,-2.402432607812687
07/03/2017,2429.01,2431.39,2439.17,2428.69,0.23%,0.0023,3.5046636793323316e-05,0.0002,6.78877941735436,1.0000350466367933,1.0904388560219178,6.78877941735436,0.3996142305324559,2.808491546073337,-2.4025168049957135
07/05/2017,2432.54,2430.78,2434.9,2422.05,0.15%,0.0015,3.425350928010218e-05,0.0002,6.4228655631419524,1.00003425350928,1.0904762073793919,6.4228655631419524,0.4059747410776233,2.812704283392447,-2.402599099627389
07/06/2017,2409.75,2423.44,2424.28,2407.7,-0.94%,-0.009399999999999999,3.5839607709364785e-05,0.0002,6.475971941912894,1.0000358396077094,1.0905152896188808,0.0,0.410105183765058,2.786264863128558,-2.4026852078366026
07/07/2017,2425.18,2413.52,2426.92,2413.52,0.64%,0.0064,3.7425079997044364e-05,0.0003,7.442158539984764,1.000037425079997,1.0905561022408328,7.442158539984764,0.3835796552919555,2.8040969582525808,-2.4027751285227135
07/10/2017,2427.43,2424.51,2432.0,2422.27,0.09%,0.0009,3.7425079997044364e-05,0.0003,6.677566403682105,1.000037425079997,1.0905969163902003,6.677566403682105,0.4013218297298673,2.806620645515008,-2.4028650525741133
07/11/2017,2425.53,2427.35,2429.3,2412.79,-0.08%,-0.0008,3.6236034462566735e-05,0.0003,7.002417698172353,1.0000362360344626,1.0906364352976474,0.0,0.40375559294089447,2.8043753489985956,-2.402952122874967
