Date,Price,Open,High,Low,Change %,Change,rf,VaR,kelly,kelly_ratio,portfolio,equity,cash
08/08/2016,254.11,253.34,254.18,252.51,0.69%,0.0069,1.9950365049981045e-05,-0.0028000000000000004,0.9531117597916461,0.9531117597916461,0.39629883906819285,0.0,0.3963067453747012
08/09/2016,255.85,254.38,256.24,254.19,0.68%,0.0068000000000000005,1.8756133838504496e-05,-0.0028000000000000004,1.0662046543519197,1.0662046543519197,0.3963067453747012,0.0,0.3963141785570585
08/10/2016,255.43,255.68,256.31,255.06,-0.16%,-0.0016,1.8357977840777195e-05,-0.0028000000000000004,1.0179658973073087,1.0179658973073087,0.3963141785570585,0.0,0.39632145408396646
08/11/2016,256.18,255.14,256.18,254.24,0.29%,0.0029,1.955232743533486e-05,-0.0028000000000000004,1.656548884247013,1.656548884247013,0.39632145408396646,0.0,0.3963292030908064
08/12/2016,256.17,256.86,257.88,255.7,0.00%,0.0,1.8357977840777195e-05,-0.0026,2.009355425776699,2.009355425776699,0.3963292030908064,0.0,0.39633647889353435
08/16/2016,256.15,256.95,258.13,256.12,-0.01%,-0.0001,2.074632195125936e-05,-0.0026,1.8626988720598074,1.8626988720598074,0.39633647889353435,0.0,0.3963447014177265
08/17/2016,256.04,255.82,256.32,254.6,-0.04%,-0.0004,1.955232743533486e-05,-0.0026,1.9457659220586976,1.9457659220586976,0.3963447014177265,0.0,0.39635245087910587
08/18/2016,258.11,256.62,258.23,255.8,0.81%,0.008100000000000001,1.8357977840777195e-05,-0.0026,2.927481995511895,2.927481995511895,0.39635245087910587,0.0,0.3963597271086162
08/19/2016,258.69,258.42,258.84,257.54,0.22%,0.0022,1.955232743533486e-05,-0.0026,2.899107037845149,2.899107037845149,0.3963597271086162,0.0,0.3963674768637828
08/22/2016,257.27,258.54,258.63,256.92,-0.55%,-0.0055000000000000005,1.8357977840777195e-05,-0.0026,2.2076929404254555,0.0,0.3963674768637828,0.0,0.3963747533691399
08/23/2016,258.42,257.57,258.63,257.09,0.45%,0.0045000000000000005,1.795978236640572e-05,-0.0026,2.0663492899875338,2.0663492899875338,0.3963747533691399,0.0,0.39638187217344595
08/24/2016,257.3,258.4,258.65,256.54,-0.43%,-0.0043,1.8357977840777195e-05,-0.0028000000000000004,1.9520352400299916,0.0,0.39638187217344595,0.0,0.3963891489430718
08/25/2016,257.26,256.78,257.76,256.0,-0.02%,-0.0002,1.8756133838504496e-05,-0.0028000000000000004,1.8504733630629764,1.8504733630629764,0.3963891489430718,0.0,0.3963965836710015
08/26/2016,256.23,256.17,256.76,255.02,-0.40%,-0.004,2.0348363219291343e-05,-0.0028000000000000004,1.7225445926922984,0.0,0.3963965836710015,0.0,0.3964046496926649
08/29/2016,256.49,254.93,256.66,254.45,0.10%,0.001,1.8756133838504496e-05,-0.0028000000000000004,1.816220396941753,1.816220396941753,0.3964046496926649,0.0,0.39641208471132877
08/30/2016,257.49,257.27,258.93,257.0,0.39%,0.0039000000000000003,1.9154250367581227e-05,-0.0028000000000000004,2.5042879147645216,2.5042879147645216,0.39641208471132877,0.0,0.3964196776876481
08/31/2016,256.87,257.21,257.49,255.9,-0.24%,-0.0024,1.8357977840777195e-05,-0.0028000000000000004,2.040438387576964,2.040438387576964,0.3964196776876481,0.0,0.3964269551513067
09/01/2016,256.03,254.95,256.13,253.86,-0.33%,-0.0033,1.8357977840777195e-05,-0.0028000000000000004,1.5488772279890135,0.0,0.3964269551513067,0.0,0.3964342327485649
09/02/2016,256.5,256.16,256.73,255.57,0.18%,0.0018,1.9154250367581227e-05,-0.0028000000000000004,1.3997517162984296,1.3997517162984296,0.3964342327485649,0.0,0.3964418261491132
09/05/2016,259.64,257.85,259.74,257.63,1.22%,0.012199999999999999,1.9154250367581227e-05,-0.0028000000000000004,1.86566401444076,1.86566401444076,0.3964418261491132,0.0,0.39644941969510744
09/06/2016,260.93,259.39,261.16,259.26,0.50%,0.005,1.676495900415631e-05,-0.0028000000000000004,1.8137859528340778,1.8137859528340778,0.39644941969510744,0.0,0.39645606615337586
09/07/2016,260.31,261.15,262.1,260.31,-0.24%,-0.0024,1.596821256866221e-05,-0.0028000000000000004,1.7618505263531354,1.7618505263531354,0.39645606615337586,0.0,0.39646239684811435
09/08/2016,260.86,260.72,261.48,259.41,0.21%,0.0021,1.8357977840777195e-05,-0.0028000000000000004,1.501987059118275,1.501987059118275,0.39646239684811435,0.0,0.3964696750960104
09/09/2016,257.31,258.68,258.94,256.21,-1.36%,-0.013600000000000001,2.193996159971512e-05,-0.0028000000000000004,0.9331461723668436,0.0,0.3964696750960104,0.0,0.39647837362545746
09/12/2016,250.53,252.37,253.43,250.53,-2.63%,-0.0263,2.1542121133588665e-05,-0.0028000000000000004,0.21337386455299823,0.0,0.39647837362545746,0.0,0.3964869146106089
09/13/2016,251.77,253.39,253.55,251.66,0.49%,0.0049,2.4326177140210348e-05,-0.0028000000000000004,0.4338334495651318,0.4338334495651318,0.3964869146106089,0.0,0.3964965596215275
