Date,Close,Change,loan_rate,deposit_rate,rf,trix,buy_signal,sell_signal,VaR,kelly,kelly_ratio,portfolio,equity,cash,Return_Change,Return_Change_3days,Is_Drop,Is_Drop_3days
2018-12-24,2351.10009765625,-0.0271122544520995,0.000214186002259,7.332651499636356e-05,4.4947537814366e-05,-1.0171909033896542,False,False,-0.0081874909644346,-0.8104097856356381,0.0,2.114969091394503,8.4036628267412,-6.288693735346698,-0.23553837185821536,-0.5611373655735834,True,True
2022-05-09,3991.239990234375,-0.0320371006323567,0.0001568951593713,2.7902844222715828e-05,3.02855205824848e-05,-0.4658410661522822,False,False,-0.012272698789159,4.220902997696477,3.0,1.756172545307907,7.136013836896534,-5.379841291588627,-0.23702777746545545,-0.5548731151625452,True,True
2020-02-28,2954.219970703125,-0.0082383404443618,0.0001856427207342,4.613400739539309e-05,3.5983874455691733e-06,-1.1435186732653206,False,False,-0.0091990137061033,1.5590649733766422,1.5590649733766422,2.3212641143875405,8.550217349525573,-6.228953235138032,-0.07218087247795646,-0.5070363303882846,False,True
2020-03-13,2711.02001953125,0.0928712497297183,0.0001665005584428,1.15832795337667e-05,1.716327295597786e-05,-1.618173441489865,False,False,-0.0122583733729132,-0.3152368542813515,0.0,1.606767591085121,7.846338673416488,-6.239571082331367,0.6657363274195367,-0.4986381091863201,False,True
2020-03-23,2237.39990234375,-0.0292938678218044,0.0001279403670828,8.3912275348208e-06,1.599681364705674e-06,-2.101815092203725,False,False,-0.0143919223563954,-2.0672468215067745,0.0,0.2312066954774616,6.475569068166994,-6.244362372689532,-0.19621784781351442,-0.4675008065325779,True,True
2018-12-21,2416.6201171875,-0.0205882283097142,0.000214186002259,7.332651499636356e-05,4.573855647849179e-05,-0.848670092695374,False,False,-0.0081694823343518,0.1856958184703304,0.1856958184703304,2.3505074632527183,8.637854536864904,-6.287347073612185,-0.18292283226281558,-0.46699964419031037,True,True
2018-03-23,2588.260009765625,-0.020966880711866,0.0001856427207342,5.482409101009722e-05,3.6236034462566735e-05,-0.4039193476656411,False,False,-0.0052402768527348,10.06474110843869,3.0,2.7743808190549792,9.2539296949121,-6.47954887585712,-0.1993839411744558,-0.4636209154704929,True,True
2018-10-12,2767.1298828125,0.0142061978251524,0.0002046940932751,6.821734496065268e-05,4.613400739539309e-05,-0.5488041116699611,False,False,-0.0065622086921236,7.360897928153518,3.0,3.093015611342412,10.171499352679978,-7.078483741337567,0.14102568641144897,-0.42048647356553204,False,True
2018-10-24,2656.10009765625,-0.0308644339777438,0.0002046940932751,7.096924410232575e-05,4.7715421805705205e-05,-0.4020707737888723,False,False,-0.0066966373620162,5.389558054374052,3.0,2.673289285208321,9.763372724848136,-7.090083439639816,-0.3123888961870578,-0.4148685686352951,True,True
2020-03-10,2882.22998046875,0.0493963062815614,0.0001665005584428,1.15832795337667e-05,3.198725798236879e-06,-1.012730694799732,False,False,-0.0108855261126957,0.6945789802247806,0.6945789802247806,2.105405700271441,8.341861143962577,-6.236455443691136,0.3916229186673732,-0.4132565159616828,False,True
2018-02-05,2648.93994140625,-0.0409792248042282,0.0001760830424664,4.376071762557388e-05,3.306352425447301e-05,-0.3007772242647726,False,False,-0.0037722947474507,19.92260511115187,3.0,2.885960692314309,9.470734074413128,-6.58477338209882,-0.40584636733282586,-0.40555828256472815,True,True
2015-08-21,1970.8900146484373,-0.0318509657186373,0.0001279403670828,2.799024374278148e-06,3.385688677992604e-05,-0.3202695707373237,False,False,-0.0089883921605711,2.821731447943035,2.821731447943035,2.1150162401664367,7.136211289840014,-5.021195049673577,-0.23541529823092766,-0.394931968991195,True,True
2022-04-26,4175.2001953125,-0.0281463084310038,0.0001376151749687,2.7108304539558148e-05,1.596821256866221e-05,-0.4833653026769134,False,False,-0.0121441378443979,6.883187222379813,3.0,2.092047770028528,7.464919783942513,-5.372872013913985,-0.21693431353524817,-0.3928062720568404,True,True
2018-12-17,2545.93994140625,-0.0207734805592242,0.0002046940932751,7.332651499636356e-05,4.732012657626683e-05,-0.4366744607341115,False,False,-0.0076021648357581,1.9427349783521288,1.9427349783521288,2.8180067595835334,9.10008930119126,-6.282082541607726,-0.1943365086363693,-0.3796283724177836,True,True
2018-12-18,2546.159912109375,8.640058610476231e-05,0.0002046940932751,7.332651499636356e-05,4.573855647849179e-05,-0.5213208237296946,False,False,-0.0075674106903027,2.65897510685142,2.65897510685142,2.8175071074430287,9.100875554240488,-6.28336844679746,-0.000499652140504736,-0.3769483966327485,False,True
